"Позиция";"Обозначение";"Корпус";"Количество";"Значение";"Поставщик и справка";
1;"D14,D12,D11,D9,D7,D3";"IN12";6;"in-12a";;;
2;"REF**";"Altech_AK300_1x11_P5.00mm_45-Degree";1;"Altech_AK300_1x11_P5.00mm_45-Degree";;;
3;"REF**";"Altech_AK300_1x06_P5.00mm_45-Degree";1;"Altech_AK300_1x06_P5.00mm_45-Degree";;;
4;"REF**";"Altech_AK300_1x17_P5.00mm_45-Degree";1;"Altech_AK300_1x17_P5.00mm_45-Degree";;;
5;"Q5";"TO-220-3_Vertical";1;"IRF840";;;
6;"U1";"SOT-223-3_TabPin2";1;"LM317_SOT-223";;;
7;"U8,U7,U6,U5,U4,U3";"DIP-4_W7.62mm";6;"TLP627";;;
8;"U2";"DIP-8_W7.62mm";1;"MC34063AP";;;
9;"R15";"D_A-405_P10.16mm_Horizontal";1;"470";;;
10;"R14";"D_A-405_P10.16mm_Horizontal";1;"72k";;;
11;"R13,R9";"D_A-405_P10.16mm_Horizontal";2;"3k";;;
12;"R12";"D_A-405_P10.16mm_Horizontal";1;"177k";;;
13;"R11";"D_A-405_P10.16mm_Horizontal";1;"430k";;;
14;"R10";"D_A-405_P10.16mm_Horizontal";1;"10k";;;
15;"R8";"D_A-405_P10.16mm_Horizontal";1;"0.2";;;
16;"R7";"D_A-405_P10.16mm_Horizontal";1;"11k";;;
17;"R6";"D_A-405_P10.16mm_Horizontal";1;"4k";;;
18;"R5,R4,R3,R1";"D_A-405_P10.16mm_Horizontal";4;"10k ";;;
19;"R2";"D_A-405_P10.16mm_Horizontal";1;"200k ";;;
20;"Q4";"TO-92_Inline";1;"2N3906";;;
21;"Q3,Q1";"SOT-23";2;"IRLML6402";;;
22;"Q2";"SOT-23";1;"BSS123";;;
23;"L1";"L_Toroid_Horizontal_D21.8mm_P19.60mm_Bourns_2100";1;"230";;;
24;"D13";"DIP_Socket-40_W11.9_W12.7_W15.24_W17.78_W18.5_3M_240-1280-00-0602J";1;"stm32";;;
25;"D10";"D_SMF";1;"BZD27Cxx";;;
26;"D8";"D_DO-41_SOD81_P10.16mm_Horizontal";1;"1N4007";;;
27;"D6";"D_DO-35_SOD27_P7.62mm_Horizontal";1;"1N4148";;;
28;"D5";"D_DO-41_SOD81_P10.16mm_Horizontal";1;"1N4002";;;
29;"D4";"DIP-16_W10.16mm";1;"SN74141N";;;
30;"D2,D1";"SOT-23";2;"BAT54C";;;
31;"CB1";"SW_PUSH_6mm_H9.5mm";1;"CircuitBreaker_1P";;;
32;"C8";"TestPoint_2Pads_Pitch2.54mm_Drill0.8mm";1;"1u";;;
33;"C7";"TestPoint_2Pads_Pitch2.54mm_Drill0.8mm";1;"10u";;;
34;"C6,C5";"TestPoint_Bridge_Pitch2.0mm_Drill0.7mm";2;"1n";;;
35;"C4";"TestPoint_Bridge_Pitch2.0mm_Drill0.7mm";1;"1000u";;;
36;"C3";"TestPoint_2Pads_Pitch2.54mm_Drill0.8mm";1;"0.1u";;;
37;"C2,C1";"TestPoint_2Pads_Pitch2.54mm_Drill0.8mm";2;"100n";;;
38;"BT1";"TestPoint_Bridge_Pitch6.35mm_Drill1.3mm";1;"Battery_Cell";;;
